Finished,Multiple,Phone pickups,Screen time,Books finished,Created,Date,Drink %,Drink,Events,Meditation %,Meditation,Multiple %,Reading,Pick up %,Reading %,Rise time,Rise time %,Run %,Run,Screen Time %,Total,Tot To-do,Work done %
18,5,70,113,0,"September 29, 2021 10:29 PM",09/29/2021,0.0,0,,0.083,15,0.12,14,0.096,0.022,-53,0.0111,-0.003,0,0.236,0.8781,19,0.313
19,5,89,79,0,"September 28, 2021 11:03 PM",09/28/2021,0.0,0,,0.083,15,0.12,21,0.09,0.032,20,-0.0016,-0.003,0,0.245,0.8794,20,0.314
13,4,95,98,0,"September 27, 2021 11:59 PM",09/27/2021,0.0,0,,0.083,15,0.108,0,0.088,-0.03,80,-0.0253,-0.003,0,0.24,0.7287,16,0.268
12,3,87,137,0,"September 26, 2021 11:44 PM",09/26/2021,0.0,0,,0.083,15,0.096,30,0.09,0.046,135,-0.0722,-0.003,0,0.23,0.7468,13,0.277
6,2,56,171,0,"September 25, 2021 11:27 PM",09/25/2021,0.0,0,,0.0,0,0.084,0,0.102,-0.03,120,-0.057,-0.003,0,0.22,0.457,14,0.141
5,2,75,218,0,"September 25, 2021 1:32 PM",09/24/2021,-0.03,1,Poker Night,0.0,0,0.084,0,0.095,-0.03,-19,0.0014,-0.003,0,0.208,0.4354,15,0.11
12,3,74,185,0,"September 23, 2021 10:54 PM",09/23/2021,0.0,0,,0.083,15,0.096,21,0.095,0.032,-30,0.0036,-0.003,0,0.217,0.7716,16,0.248
16,5,79,101,0,"September 22, 2021 10:52 PM",09/22/2021,0.0,0,,0.083,15,0.12,14,0.093,0.022,-60,0.0143,-0.003,0,0.239,0.8983,16,0.33
13,4,89,83,0,"September 21, 2021 10:44 PM",09/21/2021,0.0,0,,0.083,15,0.108,20,0.09,0.031,89,-0.0314,-0.003,0,0.244,0.8076,15,0.286
15,5,73,76,0,"September 20, 2021 11:15 PM",09/20/2021,0.0,0,,0.083,15,0.12,26,0.095,0.04,3,0.0,-0.003,0,0.246,0.856,18,0.275
15,5,60,152,0,"September 19, 2021 10:41 PM",09/19/2021,0.0,0,,0.083,15,0.12,21,0.1,0.032,95,-0.0357,-0.003,0,0.226,0.8523,15,0.33
15,5,79,183,0,"September 18, 2021 11:20 PM",09/18/2021,0.0,0,Korean BBQ,0.083,15,0.12,25,0.093,0.038,38,-0.0057,-0.003,0,0.217,0.8513,16,0.309
13,5,116,165,0,"September 18, 2021 1:19 AM",09/17/2021,0.0,0,,0.083,15,0.12,0,0.08,-0.03,-1,0.0,-0.003,0,0.222,0.778,14,0.306
16,4,94,113,0,"September 17, 2021 12:23 AM",09/16/2021,0.0,0,,0.083,15,0.108,11,0.088,0.017,22,-0.0019,-0.003,0,0.236,0.8381,17,0.311
16,5,105,106,0,"September 15, 2021 11:27 PM",09/15/2021,0.0,0,adjustment,0.083,15,0.12,30,0.084,0.046,-17,0.0011,-0.003,0,0.238,0.8621,18,0.293
14,4,92,104,0,"September 15, 2021 12:05 AM",09/14/2021,0.0,0,Motivation,0.083,15,0.108,17,0.089,0.026,120,-0.057,-0.003,0,0.238,0.792,15,0.308
13,4,150,164,0,"September 14, 2021 12:26 AM",09/13/2021,0.0,0,,0.083,15,0.108,42,0.068,0.065,125,-0.0619,-0.003,0,0.222,0.7671,15,0.286
6,1,119,255,0,"September 13, 2021 9:36 AM",09/12/2021,0.0,0,Lazy day,0.0,0,0.072,0,0.079,-0.03,15,-0.0009,-0.003,0,0.198,0.4541,13,0.139
6,2,119,136,0,"September 12, 2021 8:05 AM",09/11/2021,0.0,0,End,0.083,15,0.084,0,0.079,-0.03,180,-0.1283,-0.003,0,0.23,0.4787,11,0.164
11,4,145,262,0,"September 11, 2021 12:31 AM",09/10/2021,0.0,0,2nd vaccination,0.0,0,0.108,10,0.07,0.015,-31,0.0038,-0.003,0,0.196,0.6648,12,0.275
12,4,156,165,0,"September 9, 2021 11:30 PM",09/09/2021,0.0,0,,0.083,15,0.108,20,0.066,0.031,-10,0.0004,-0.003,0,0.222,0.7904,14,0.283
12,4,124,177,0,"September 8, 2021 11:56 PM",09/08/2021,0.0,0,suru call,0.055,10,0.108,0,0.077,-0.03,10,-0.0004,-0.003,0,0.219,0.7026,13,0.277
6,3,131,183,0,"September 8, 2021 12:09 AM",09/07/2021,0.0,0,,0.0,0,0.096,0,0.075,-0.03,120,-0.057,-0.003,0,0.217,0.448,12,0.15
11,3,158,357,0,"September 7, 2021 12:16 AM",09/06/2021,0.0,0,,0.083,15,0.096,0,0.065,-0.03,50,-0.0099,-0.003,0,0.171,0.6311,14,0.259
5,3,114,386,0,"September 6, 2021 12:43 AM",09/05/2021,0.0,0,,0.0,0,0.096,0,0.081,-0.03,30,-0.0036,-0.003,0,0.163,0.4534,10,0.15
2,2,127,237,0,"September 5, 2021 9:31 AM",09/04/2021,-0.03,1,Rochester Pho,0.0,0,0.084,0,0.076,-0.03,80,-0.0253,-0.003,0,0.203,0.3417,9,0.067
9,3,148,135,0,"September 4, 2021 9:20 AM",09/03/2021,-0.03,1,Trey’s house,0.083,15,0.096,0,0.069,-0.03,-10,0.0004,-0.003,0,0.23,0.6404,12,0.225
11,3,112,167,0,"September 3, 2021 1:12 AM",09/02/2021,-0.03,1,,0.083,15,0.096,30,0.081,0.046,11,-0.0005,-0.003,0,0.222,0.7485,13,0.254
12,4,174,187,0,"September 1, 2021 10:05 PM",09/01/2021,0.0,0,,0.066,12,0.108,0,0.059,-0.03,-60,0.0143,-0.003,0,0.216,0.7073,13,0.277
9,3,71,74,0,"September 30, 2021 11:35 PM",09/30/2021,0.0,0,,0.0,0,0.096,0,0.096,-0.03,147,-0.0856,-0.003,0,0.246,0.4944,17,0.175
