Date,Finished,Multiple,Phone pickups,Screen time,Books finished,Created,Drink %,Drink,Meditation %,Meditation,Multiple %,Reading,Pick up %,Reading %,Rise time,Rise time %,Run %,Run,Screen Time %,Total,Tot To-do,Work done %
1/31/21,4,3,61,440,0.0,2/1/21 1:43,0.0,0,0.0,0,0.096,0,0.18,-0.03,135,-0.0722,-0.003,0,0.149,0.4198,10,0.1
1/30/21,6,4,39,296,0.0,1/21/21 15:51,0.0,0,0.0,0,0.108,35,0.194,0.019,200,-0.1584,-0.003,0,0.187,0.5346,8,0.188
1/20/21,1,1,38,797,0.0,1/20/21 15:42,0.0,0,0.0,0,0.072,0,0.195,-0.03,320,-0.4055,-0.003,0,0.054,-0.0865,8,0.031
1/19/21,5,3,75,495,0.0,1/20/21 0:25,0.0,0,0.0,0,0.096,25,0.171,0.014,150,-0.0891,-0.003,0,0.134,0.4619,9,0.139
1/18/21,1,2,43,473,0.0,1/17/21 0:03,0.0,0,0.0,0,0.084,0,0.192,-0.03,180,-0.1283,-0.003,0,0.14,0.2967,6,0.042
1/15/21,7,3,105,302,0.0,1/15/21 19:34,-0.03,1,0.083,15,0.096,0,0.152,-0.03,130,-0.0669,-0.003,0,0.186,0.6061,8,0.219
1/14/21,9,5,75,335,1.0,1/14/21 14:46,0.0,0,0.083,15,0.12,30,0.171,0.017,0,0.0,-0.003,0,0.177,0.815,9,0.25
1/13/21,3,3,55,194,,1/13/21 14:22,0.0,0,0.0,0,0.096,0,0.184,-0.03,130,-0.0669,-0.003,0,0.214,0.4771,9,0.083
1/12/21,9,3,74,304,,1/12/21 23:28,0.0,0,0.083,15,0.096,49,0.172,0.027,140,-0.0776,-0.003,0,0.185,0.7324,9,0.25
1/11/21,4,2,75,535,,1/12/21 2:20,0.0,0,0.0,0,0.084,0,0.171,-0.03,-30,0.0036,-0.003,0,0.124,0.4496,10,0.1
1/10/21,7,3,49,288,,1/11/21 1:18,0.0,0,0.0,0,0.096,25,0.188,0.014,120,-0.057,-0.003,0,0.189,0.646,8,0.219
1/9/21,3,2,84,564,,1/10/21 15:30,-0.03,1,0.0,0,0.084,0,0.165,-0.03,180,-0.1283,-0.003,0,0.116,0.2807,7,0.107
1/8/21,6,3,88,203,,1/9/21 0:03,0.0,0,0.083,15,0.096,0,0.163,-0.03,180,-0.1283,-0.003,0,0.212,0.5807,8,0.188
1/4/21,3,2,53,529,,1/5/21 16:20,0.0,0,0.0,0,0.084,0,0.185,-0.03,0,0.0,-0.003,0,0.125,0.429,11,0.068
1/3/21,10,4,69,240,,1/4/21 0:37,0.0,0,0.083,15,0.108,0,0.175,-0.03,150,-0.0891,-0.003,0,0.202,0.6539,12,0.208
1/2/21,8,3,46,513,,1/3/21 1:00,0.0,0,0.055,10,0.096,43,0.19,0.024,200,-0.1584,-0.003,0,0.13,0.5006,12,0.167
1/1/21,4,2,58,600,1.0,1/2/21 15:35,0.0,0,0.0,0,0.084,0,0.182,-0.03,150,-0.0891,-0.003,0,0.106,0.3749,8,0.125
