Finished,Multiple,Phone pickups,Screen time,Books finished,Created,Date,Drink %,Drink,Events,Meditation %,Meditation,Mentality,Multiple %,Multiple EST,Satisfaction,Reading,Pick up %,Productivity & Focus,Reading %,Rise time,Rise time %,Run %,Run,Screen Time %,Social,Tech,Total,Tot To-do,Work done %
12,3.8,128,191,0,04/09/2022 04:13,04/08/2022,-0.03,1,0,0.083,15,4.0,0.1056,3.8,4.0,0,0.076,,-0.03,26,-0.0027,-0.003,0,0.215,4.0,3.0,0.6969,14,0.283
14,4.4,55,184,0,04/08/2022 04:00,04/07/2022,0.0,0,0,0.083,15,5.0,0.1128,4.4,5.0,14,0.102,,0.022,-35,0.0049,-0.003,0,0.217,5.0,3.0,0.8467,15,0.308
13,3.8,112,194,0,04/07/2022 03:27,04/06/2022,0.0,0,0,0.083,15,4.0,0.1056,3.8,4.0,18,0.081,,0.028,30,-0.0036,-0.003,0,0.214,4.0,3.0,0.791,15,0.286
8,2.8,53,193,0,04/06/2022 04:39,04/05/2022,0.0,0,0,0.0,0,3.0,0.0936,2.8,3.0,0,0.103,,-0.03,0,0.0,-0.003,0,0.215,3.0,2.0,0.5676,14,0.189
8,3.6,68,79,0,04/05/2022 04:58,04/04/2022,0.0,0,0,0.0,0,3.0,0.1032,3.6,4.0,0,0.097,,-0.03,3,0.0,-0.003,0,0.245,4.0,3.0,0.5882,15,0.176
8,3.2,58,119,0,04/04/2022 04:47,04/03/2022,0.0,0,0,0.0,0,3.0,0.0984,3.2,3.0,0,0.101,,-0.03,48,-0.0091,-0.003,0,0.234,4.0,3.0,0.5913,12,0.2
4,1.4,42,132,0,04/03/2022 02:35,04/02/2022,0.0,0,0,0.083,15,1.0,0.0768,1.4,1.0,0,0.107,,-0.03,165,-0.1078,-0.003,0,0.231,1.0,2.0,0.507,8,0.15
9,2.4,70,256,0,04/02/2022 05:00,04/01/2022,0.0,0,0,0.0,0,2.0,0.0888,2.4,2.0,0,0.096,,-0.03,10,-0.0004,-0.003,0,0.198,4.0,2.0,0.5614,14,0.212
