Finished,Multiple,Phone pickups,Screen time,Books finished,Created,Date,Drink %,Drink,Meditation %,Meditation,Multiple %,Reading,Pick up %,Reading %,Rise time,Rise time %,Run %,Run,Screen Time %,Total,Tot To-do,Work done %
12,3,109,445,0,"Feb 25, 2021 3:14 AM",02/24/2021,0.0,0.0,0.0,0,0.096,0,0.149,-0.03,90.0,-0.0321,-0.003,0,0.148,0.5339,16,0.206
7,2,70,383,0,"Feb 24, 2021 2:42 AM",02/23/2021,0.0,0.0,0.055,10,0.084,0,0.174,-0.03,180.0,-0.1283,-0.003,0,0.164,0.4507,13,0.135
6,2,91,442,0,"Feb 23, 2021 2:30 AM",02/22/2021,0.0,0.0,0.0,0,0.084,0,0.161,-0.03,168.0,-0.1118,-0.003,0,0.148,0.3732,12,0.125
10,5,80,169,0,"Feb 22, 2021 2:27 AM",02/21/2021,-0.03,1.0,0.0,0,0.12,0,0.168,-0.03,0.0,0.0,-0.003,0,0.221,0.629,15,0.183
15,4,97,132,0,"Feb 21, 2021 1:10 AM",02/20/2021,0.0,0.0,0.083,15,0.108,0,0.157,-0.03,0.0,0.0,-0.003,0,0.231,0.788,17,0.242
10,5,91,105,0,"Feb 20, 2021 1:09 AM",02/19/2021,0.0,0.0,0.0,0,0.12,0,0.161,-0.03,180.0,-0.1283,-0.003,0,0.238,0.5537,14,0.196
17,4,95,109,0,"Feb 19, 2021 1:16 AM",02/18/2021,0.0,0.0,0.0,0,0.108,0,0.158,-0.03,152.0,-0.0915,-0.003,0,0.237,0.6005,21,0.222
15,4,134,175,0,"Feb 17, 2021 11:54 PM",02/17/2021,0.0,,0.083,15,0.108,42,0.133,0.023,60.0,-0.0143,-0.003,0,0.219,0.7777,18,0.229
15,5,103,144,0,"Feb 16, 2021 9:56 AM",02/16/2021,0.0,0.0,0.072,13,0.12,28,0.153,0.016,53.0,-0.0111,-0.003,0,0.228,0.8499,15,0.275
9,5,116,260,0,"Feb 16, 2021 12:54 AM",02/15/2021,0.0,0.0,0.055,10,0.12,13,0.145,0.007,240.0,-0.2281,-0.003,0,0.197,0.4979,11,0.205
11,3,72,161,0,"Feb 15, 2021 12:10 AM",02/14/2021,0.0,0.0,0.0,0,0.096,0,0.173,-0.03,,0.0,-0.003,0,0.223,0.66,15,0.201
11,4,117,193,0,"Feb 13, 2021 10:55 AM",02/13/2021,0.0,0.0,0.083,15,0.108,0,0.144,-0.03,,0.0,-0.003,0,0.215,0.729,13,0.212
2,3,90,158,0,"Feb 13, 2021 1:23 AM",02/12/2021,0.0,0.0,0.0,0,0.096,0,0.161,-0.03,120.0,-0.057,-0.003,0,0.224,0.43,14,0.039
11,4,99,159,0,"Feb 12, 2021 4:40 AM",02/11/2021,-0.03,1.0,0.083,15,0.108,0,0.156,-0.03,60.0,-0.0143,-0.003,0,0.224,0.7057,13,0.212
14,5,88,127,0,"Feb 11, 2021 1:16 AM",02/10/2021,0.0,0.0,0.083,15,0.12,0,0.163,-0.03,60.0,-0.0143,-0.003,0,0.232,0.8067,15,0.256
12,5,110,220,0,"Feb 10, 2021 12:06 AM",02/09/2021,0.0,0.0,0.083,15,0.12,20,0.149,0.011,0.0,0.0,-0.003,0,0.207,0.798,13,0.231
11,4,99,126,0,"Feb 8, 2021 10:37 PM",02/08/2021,0.0,0.0,0.083,15,0.108,20,0.156,0.011,120.0,-0.057,-0.003,0,0.232,0.759,12,0.229
8,3,96,473,0,"Feb 6, 2021 6:27 PM",02/06/2021,0.0,0.0,0.0,0,0.096,0,0.158,-0.03,180.0,-0.1283,-0.003,0,0.14,0.4147,11,0.182
10,3,96,318,0,"Feb 6, 2021 12:33 PM",02/05/2021,0.0,0.0,0.0,0,0.096,0,0.158,-0.03,120.0,-0.057,-0.003,0,0.181,0.537,13,0.192
12,4,81,340,0,"Feb 5, 2021 12:27 AM",02/04/2021,0.0,0.0,0.0,0,0.108,0,0.167,-0.03,170.0,-0.1145,-0.003,0,0.176,0.5385,14,0.235
8,3,61,67,0,"Feb 3, 2021 11:46 PM",02/03/2021,0.0,0.0,0.0,0,0.096,0,0.18,-0.03,210.0,-0.1747,-0.003,0,0.248,0.4703,13,0.154
13,4,55,142,0,"Feb 3, 2021 12:50 AM",02/02/2021,0.0,0.0,0.083,15,0.108,0,0.184,-0.03,75.0,-0.0223,-0.003,0,0.228,0.8027,14,0.255
8,4,58,199,0,"Feb 1, 2021 3:00 PM",02/01/2021,-0.03,1.0,0.0,0,0.108,0,0.182,-0.03,90.0,-0.0321,-0.003,0,0.213,0.5749,12,0.167
9,4,68,310,0,"Feb 26, 2021 12:31 AM",02/25/2021,0.0,0.0,0.083,15,0.108,0,0.176,-0.03,168.0,-0.1118,-0.003,0,0.184,0.5792,13,0.173
