Finished,Multiple,Phone pickups,Screen time,Books finished,Created,Date,Drink %,Drink,Meditation %,Meditation,Mentality,Multiple %,Multiple EST,Satisfaction,Reading,Pick up %,Productivity,Reading %,Rise time,Rise time %,Run %,Run,Screen Time %,Social,Tech,Total,Tot To-do,Work done %
11,4.6,48,93,0,06/26/2022 04:34,06/25/2022,-0.03,1,0.143,20,5.0,0.1658,4.6,4.0,25,0.058,5.0,0.056,133,-0.1299,-0.003,0.0,0.211,5.0,4.0,0.7979,11,0.327
4,2.2,38,115,0,06/25/2022 03:45,06/24/2022,-0.03,1,0.0,0,3.0,0.1106,2.2,2.0,0,0.06,2.0,-0.03,14,-0.014,-0.003,0.0,0.206,3.0,1.0,0.4186,11,0.119
11,2.2,47,64,0,06/24/2022 03:09,06/23/2022,0.0,0,0.0,0,2.0,0.1106,2.2,2.0,12,0.059,2.0,0.027,22,-0.022,-0.003,0.0,0.218,3.0,2.0,0.7016,12,0.312
10,3.8,53,160,0,06/23/2022 02:57,06/22/2022,0.0,0,0.143,20,4.0,0.1474,3.8,4.0,28,0.057,4.0,0.062,73,-0.0725,-0.003,0.0,0.195,4.0,3.0,0.8259,11,0.297
9,2.8,82,166,1,06/22/2022 03:27,06/21/2022,0.0,0,0.143,20,3.0,0.1244,2.8,3.0,33,0.052,3.0,0.073,15,-0.015,-0.003,0.0,0.194,3.0,2.0,0.8954,9,0.327
9,4.6,64,79,0,06/21/2022 04:53,06/20/2022,0.0,0,0.143,20,5.0,0.1658,4.6,4.0,15,0.055,5.0,0.033,36,-0.0359,-0.003,0.0,0.214,5.0,4.0,0.8989,9,0.327
10,4.2,34,22,0,06/20/2022 04:05,06/19/2022,0.0,0,0.143,20,4.0,0.1566,4.2,4.0,16,0.061,4.0,0.036,93,-0.0919,-0.003,0.0,0.227,5.0,4.0,0.8557,10,0.327
9,3.8,32,44,0,06/19/2022 04:11,06/18/2022,0.0,0,0.143,20,4.0,0.1474,3.8,4.0,16,0.062,4.0,0.036,5,-0.005,-0.003,0.0,0.222,4.0,3.0,0.9294,9,0.327
7,4.0,112,159,0,06/18/2022 03:33,06/17/2022,0.0,0,0.143,20,4.0,0.152,4.0,4.0,6,0.046,4.0,0.013,10,-0.01,0.012,1.02,0.196,5.0,3.0,0.781,10,0.229
9,3.2,72,94,0,06/17/2022 02:40,06/16/2022,0.0,0,0.179,25,3.0,0.1336,3.2,3.0,0,0.054,4.0,-0.03,25,-0.025,-0.003,0.0,0.211,4.0,2.0,0.7746,12,0.255
6,1.8,40,146,0,06/16/2022 03:14,06/15/2022,0.0,0,0.0,0,1.0,0.1014,1.8,2.0,0,0.06,2.0,-0.03,24,-0.024,-0.003,0.0,0.199,3.0,1.0,0.4604,13,0.157
11,2.8,53,195,0,06/15/2022 03:25,06/14/2022,-0.03,1,0.107,15,2.0,0.1244,2.8,3.0,28,0.057,3.0,0.062,0,0.0,0.0141,1.2,0.187,4.0,2.0,0.8485,11,0.327
11,2.6,70,186,0,06/14/2022 03:57,06/13/2022,0.0,0,0.107,15,2.0,0.1198,2.6,3.0,13,0.054,3.0,0.029,-2,0.002,0.0128,1.09,0.189,3.0,2.0,0.8256,12,0.312
