Finished,Multiple,Phone pickups,Screen time,Books finished,Created,Date,Drink %,Drink,Meditation %,Meditation,Mentality,Multiple %,Multiple EST,Satisfaction,Reading,Pick up %,Productivity,Reading %,Rise time,Rise time %,Run %,Run,Screen Time %,Social,Tech,Total,Tot To-do,Work done %
11,3.6,78,106,0,06/13/2022 04:39,06/12/2022,0.0,0,0.107,15,4.0,0.1428,3.6,3.0,27,0.052,3.0,0.06,-1,0.001,0.0182,1.55,0.208,4.0,4.0,0.901,12,0.312
12,3.2,65,268,0,06/12/2022 04:25,06/11/2022,-0.03,1,0.107,15,4.0,0.1336,3.2,3.0,20,0.055,3.0,0.044,-5,0.005,0.0167,1.42,0.17,4.0,2.0,0.8153,13,0.314
12,3.4,86,212,0,06/11/2022 04:04,06/10/2022,0.0,0,0.107,15,3.0,0.1382,3.4,4.0,21,0.051,3.0,0.047,-11,0.011,0.0142,1.21,0.183,4.0,3.0,0.8914,12,0.34
13,4.0,93,157,0,06/10/2022 01:43,06/09/2022,0.0,0,0.107,15,4.0,0.152,4.0,4.0,26,0.049,4.0,0.058,-5,0.005,0.0169,1.44,0.196,5.0,3.0,0.9239,13,0.34
12,4.2,91,118,0,06/09/2022 03:46,06/08/2022,0.0,0,0.107,15,4.0,0.1566,4.2,5.0,25,0.05,4.0,0.056,-30,0.03,0.0158,1.34,0.205,4.0,4.0,0.9604,12,0.34
12,4.4,79,123,0,06/08/2022 02:09,06/07/2022,0.0,0,0.107,15,4.0,0.1612,4.4,4.0,25,0.052,5.0,0.056,13,-0.013,-0.003,0.0,0.204,5.0,4.0,0.9042,12,0.34
4,1.2,59,273,0,06/07/2022 03:56,06/06/2022,-0.03,1,0.107,15,1.0,0.0876,1.2,1.0,14,0.056,1.0,0.031,12,-0.012,-0.003,0.0,0.169,2.0,1.0,0.5186,12,0.113
9,3.2,79,148,0,06/06/2022 03:10,06/05/2022,-0.03,1,0.107,15,3.0,0.1336,3.2,3.0,19,0.052,3.0,0.042,0,0.0,-0.003,0.0,0.198,5.0,2.0,0.8266,9,0.327
6,2.4,51,219,0,06/05/2022 03:19,06/04/2022,0.0,0,0.107,15,3.0,0.1152,2.4,2.0,20,0.058,2.0,0.044,-51,0.0508,0.0147,1.25,0.182,3.0,2.0,0.7897,9,0.218
9,4.6,100,107,0,06/04/2022 03:59,06/03/2022,-0.03,1,0.107,15,5.0,0.1658,4.6,4.0,18,0.048,4.0,0.04,6,-0.006,0.0154,1.31,0.208,5.0,5.0,0.8152,11,0.267
9,4.8,91,158,0,06/03/2022 02:27,06/02/2022,-0.03,1,0.107,15,5.0,0.1704,4.8,5.0,22,0.05,5.0,0.049,-60,0.0597,0.0133,1.13,0.196,5.0,4.0,0.9424,9,0.327
11,4.4,114,130,0,06/02/2022 03:47,06/01/2022,0.0,0,0.107,15,4.0,0.1612,4.4,5.0,18,0.045,5.0,0.04,-32,0.032,0.0132,1.12,0.202,4.0,4.0,0.9274,11,0.327
