Finished,Multiple,Phone pickups,Screen time,Books finished,Created,Date,Drink %,Drink,Events,Meditation %,Meditation,Multiple %,Reading,Pick up %,Reading %,Rise time,Rise time %,Run %,Run,Screen Time %,Total,Tot To-do,Work done %
8,3,90,104,0,"Apr 29, 2021 12:34 AM",04/28/2021,0.0,0,,0.0,0,0.096,0,0.089,-0.03,180,-0.1283,-0.003,0,0.238,0.4617,12,0.2
11,3,80,100,0,"Apr 28, 2021 12:03 AM",04/27/2021,0.0,0,,0.083,15,0.096,34,0.093,0.052,190,-0.143,-0.003,0,0.239,0.671,13,0.254
8,3,91,118,0,"Apr 27, 2021 12:45 AM",04/26/2021,0.0,0,,0.0,0,0.096,30,0.089,0.046,225,-0.2005,-0.003,0,0.235,0.4475,13,0.185
8,4,68,70,0,"Apr 26, 2021 2:05 AM",04/25/2021,0.0,0,,0.0,0,0.108,7,0.097,0.011,270,-0.2887,-0.003,0,0.247,0.3713,12,0.2
5,2,55,377,0,"Apr 25, 2021 12:39 AM",04/24/2021,0.0,0,,0.0,0,0.084,0,0.102,-0.03,6,-0.0001,-0.003,0,0.166,0.4689,10,0.15
5,3,92,134,0,"Apr 24, 2021 1:00 AM",04/23/2021,0.0,0,,0.0,0,0.096,15,0.089,0.023,165,-0.1078,-0.003,0,0.23,0.4942,9,0.167
5,3,80,171,0,"Apr 23, 2021 2:10 AM",04/22/2021,0.0,0,,0.0,0,0.096,0,0.093,-0.03,240,-0.2281,-0.003,0,0.22,0.3149,9,0.167
8,2,93,160,0,"Apr 22, 2021 2:13 AM",04/21/2021,0.0,0,,0.0,0,0.084,30,0.088,0.046,240,-0.2281,-0.003,0,0.223,0.4099,12,0.2
6,2,84,412,0,"Apr 21, 2021 1:57 AM",04/20/2021,0.0,0,,0.0,0,0.084,0,0.091,-0.03,190,-0.143,-0.003,0,0.156,0.319,11,0.164
4,4,103,375,0,"Apr 20, 2021 3:03 AM",04/19/2021,0.0,0,,0.0,0,0.108,0,0.085,-0.03,210,-0.1747,-0.003,0,0.166,0.2843,9,0.133
4,2,79,300,0,"Apr 19, 2021 3:02 AM",04/18/2021,0.0,0,,0.0,0,0.084,0,0.093,-0.03,275,-0.2995,-0.003,0,0.186,0.1635,9,0.133
5,4,47,202,0,"Apr 18, 2021 1:46 AM",04/17/2021,0.0,0,,0.0,0,0.108,0,0.105,-0.03,200,-0.1584,-0.003,0,0.212,0.3836,10,0.15
6,3,39,520,0,"Apr 17, 2021 1:19 AM",04/16/2021,0.0,0,,0.0,0,0.096,0,0.108,-0.03,300,-0.3564,-0.003,0,0.128,0.0926,12,0.15
11,3,56,445,0,"Apr 16, 2021 3:43 PM",04/15/2021,0.0,0,Dr.Tang,0.0,0,0.096,0,0.102,-0.03,104,-0.0428,-0.003,0,0.148,0.5292,14,0.259
