Finished,Multiple,Phone pickups,Screen time,Books finished,Created,Date,Drink %,Drink,Events,Meditation %,Meditation,Multiple %,Reading,Pick up %,Reading %,Rise time,Rise time %,Run %,Run,Screen Time %,Total,Tot To-do,Work done %
13,3,86,262,0,"Apr 15, 2021 1:21 AM",04/14/2021,0.0,0,,0.083,15,0.096,22,0.091,0.034,180,-0.1283,-0.003,0,0.196,0.6747,14,0.306
17,4,103,280,0,"Apr 14, 2021 2:11 AM",04/13/2021,0.0,0,,0.083,15,0.108,38,0.085,0.058,-10,0.0004,-0.003,0,0.191,0.8524,17,0.33
7,3,56,188,0,"Apr 13, 2021 12:06 AM",04/12/2021,0.0,0,,0.0,0,0.096,23,0.102,0.035,180,-0.1283,-0.003,0,0.216,0.4717,15,0.154
5,2,65,271,0,"Apr 12, 2021 3:12 AM",04/11/2021,0.0,0,,0.0,0,0.084,0,0.098,-0.03,180,-0.1283,-0.003,0,0.194,0.3397,12,0.125
8,3,96,295,0,"Apr 11, 2021 4:26 PM",04/10/2021,-0.03,1,,0.055,10,0.096,0,0.087,-0.03,223,-0.1969,-0.003,0,0.188,0.3511,13,0.185
4,4,78,195,0,"Apr 10, 2021 1:27 AM",04/09/2021,0.0,0,,0.0,0,0.108,0,0.094,-0.03,-10,0.0004,-0.003,0,0.214,0.4924,11,0.109
14,4,86,150,0,"Apr 8, 2021 11:57 PM",04/08/2021,0.0,0,,0.083,15,0.108,20,0.091,0.031,50,-0.0099,-0.003,0,0.226,0.7831,18,0.257
13,4,100,126,0,"Apr 8, 2021 12:32 AM",04/07/2021,0.0,0,,0.0,0,0.108,35,0.086,0.054,75,-0.0223,-0.003,0,0.232,0.7607,14,0.306
10,3,77,99,0,"Apr 7, 2021 12:49 AM",04/06/2021,0.0,0,,0.0,0,0.096,35,0.094,0.054,160,-0.1014,-0.003,0,0.24,0.5996,15,0.22
2,1,56,527,0,"Apr 6, 2021 1:04 AM",04/05/2021,0.0,0,,0.0,0,0.072,0,0.102,-0.03,240,-0.2281,-0.003,0,0.126,0.0849,13,0.046
7,3,84,105,0,"Apr 5, 2021 1:50 AM",04/04/2021,-0.03,1,,0.0,0,0.096,0,0.091,-0.03,210,-0.1747,-0.003,0,0.238,0.3623,12,0.175
0,1,75,423,0,"Apr 4, 2021 2:01 PM",04/03/2021,0.0,0,,0.0,0,0.072,0,0.095,-0.03,60,-0.0143,-0.003,0,0.153,0.2727,0,0.0
8,3,113,126,0,"Apr 4, 2021 1:59 PM",04/02/2021,-0.03,1,,0.083,15,0.096,0,0.081,-0.03,-15,0.0009,-0.003,0,0.232,0.6149,13,0.185
15,4,64,183,0,"Apr 2, 2021 12:17 AM",04/01/2021,0.0,0,,0.083,15,0.108,35,0.099,0.054,73,-0.0211,-0.003,0,0.217,0.8669,15,0.33
12,3,77,91,0,"Apr 30, 2021 1:14 AM",04/29/2021,0.0,0,,0.083,15,0.096,15,0.094,0.023,120,-0.057,-0.003,0,0.242,0.761,14,0.283
