Finished,Multiple,Phone pickups,Screen time,Books finished,Created,Date,Drink %,Drink,Events,Meditation %,Meditation,Multiple %,Reading,Pick up %,Reading %,Rise time,Rise time %,Run %,Run,Screen Time %,Total,Tot To-do,Work done %
11,3,106,302,0,"November 22, 2021 11:44 PM",11/22/2021,0.0,0,,0.0,0,0.096,0,0.084,-0.03,0,0.0,-0.003,0,0.186,0.575,15,0.242
8,2,60,425,0,"November 21, 2021 11:13 PM",11/21/2021,0.0,0,,0.061,11,0.084,30,0.1,0.046,110,-0.0479,-0.003,0,0.153,0.6111,11,0.218
5,2,79,445,0,"November 21, 2021 12:48 AM",11/20/2021,-0.03,1,,0.0,0,0.084,0,0.093,-0.03,37,-0.0054,-0.003,0,0.148,0.3746,14,0.118
8,4,97,189,0,"November 19, 2021 10:19 PM",11/19/2021,0.0,0,Fri,0.0,0,0.108,0,0.087,-0.03,-35,0.0049,-0.003,0,0.216,0.6009,11,0.218
6,4,96,117,0,"November 18, 2021 9:35 PM",11/18/2021,0.0,0,Exam-P,0.088,16,0.108,0,0.087,-0.03,0,0.0,-0.003,0,0.235,0.742,7,0.257
11,4,82,132,0,"November 17, 2021 10:34 PM",11/17/2021,0.0,0,,0.088,16,0.108,13,0.092,0.02,-60,0.0143,-0.003,0,0.231,0.8503,11,0.3
12,3,54,162,0,"November 16, 2021 9:56 PM",11/16/2021,0.0,0,,0.094,17,0.096,14,0.102,0.022,-35,0.0049,-0.003,0,0.223,0.8389,12,0.3
14,3,121,95,0,"November 15, 2021 10:35 PM",11/15/2021,0.0,0,,0.088,16,0.096,14,0.078,0.022,-35,0.0049,-0.003,0,0.241,0.8349,15,0.308
13,4,56,196,0,"November 14, 2021 10:19 PM",11/14/2021,0.0,0,,0.066,12,0.108,9,0.102,0.014,0,0.0,-0.003,0,0.214,0.801,13,0.3
14,4,47,150,0,"November 13, 2021 11:13 PM",11/13/2021,0.0,0,,0.066,12,0.108,0,0.105,-0.03,0,0.0,-0.003,0,0.226,0.761,16,0.289
11,3,99,278,0,"November 12, 2021 10:01 PM",11/12/2021,0.0,0,Fri,0.077,14,0.096,0,0.086,-0.03,-60,0.0143,-0.003,0,0.192,0.6593,16,0.227
15,3,94,207,0,"November 11, 2021 9:32 PM",11/11/2021,0.0,0,,0.094,17,0.096,13,0.088,0.02,-60,0.0143,-0.003,0,0.211,0.8293,16,0.309
15,5,120,109,0,"November 10, 2021 10:21 PM",11/10/2021,0.0,0,,0.088,16,0.12,13,0.079,0.02,-60,0.0143,-0.003,0,0.237,0.8463,17,0.291
15,5,96,120,0,"November 9, 2021 10:13 PM",11/09/2021,0.0,0,,0.083,15,0.12,17,0.087,0.026,-60,0.0143,-0.003,0,0.234,0.8913,15,0.33
12,3,110,91,0,"November 8, 2021 10:16 PM",11/08/2021,0.0,0,,0.055,10,0.096,11,0.082,0.017,-40,0.0063,-0.003,0,0.242,0.7433,16,0.248
9,4,121,151,0,"November 7, 2021 10:40 PM",11/07/2021,0.0,0,,0.066,12,0.108,22,0.078,0.034,0,0.0,-0.003,0,0.226,0.755,11,0.246
8,3,90,144,0,"November 7, 2021 12:56 AM",11/06/2021,0.0,0,,0.072,13,0.096,0,0.089,-0.03,0,0.0,-0.003,0,0.228,0.652,12,0.2
12,3,149,122,0,"November 6, 2021 1:01 AM",11/05/2021,-0.03,1,Fri,0.055,10,0.096,0,0.068,-0.03,-60,0.0143,-0.003,0,0.234,0.6873,14,0.283
12,5,101,122,0,"November 4, 2021 10:30 PM",11/04/2021,0.0,0,,0.066,12,0.12,0,0.085,-0.03,-60,0.0143,-0.003,0,0.234,0.7633,13,0.277
16,5,119,148,0,"November 3, 2021 10:19 PM",11/03/2021,0.0,0,,0.044,8,0.12,0,0.079,-0.03,-30,0.0036,-0.003,0,0.227,0.7516,17,0.311
12,4,134,153,0,"November 2, 2021 10:37 PM",11/02/2021,0.0,0,,0.05,9,0.108,0,0.074,-0.03,-30,0.0036,-0.003,0,0.225,0.7046,13,0.277
13,4,146,127,0,"November 1, 2021 10:08 PM",11/01/2021,0.0,0,,0.039,7,0.108,12,0.069,0.018,75,-0.0223,-0.003,0,0.232,0.7267,15,0.286
