Finished,Multiple,Phone pickups,Screen time,Books finished,Created,Date,Drink %,Drink,Events,Meditation %,Meditation,Multiple %,Reading,Pick up %,Reading %,Rise time,Rise time %,Run %,Run,Screen Time %,Total,Tot To-do,Work done %
7,4,182,251,0,"July 30, 2021 7:25 AM",07/29/2021,-0.03,1,,0.0,0,0.108,0,0.056,-0.03,-30,0.0036,-0.003,0,0.199,0.5376,9,0.234
6,3,196,312,0,"July 29, 2021 1:36 AM",07/28/2021,-0.03,1,Mike,0.083,15,0.096,0,0.051,-0.03,0,0.0,-0.003,0,0.183,0.53,10,0.18
1,2,151,341,0,"July 28, 2021 8:28 AM",07/27/2021,-0.03,1,Rest,0.0,0,0.084,0,0.068,-0.03,-180,0.1283,-0.003,0,0.175,0.4223,10,0.03
4,3,176,160,0,"July 27, 2021 11:59 AM",07/26/2021,-0.03,1,Jenny,0.0,0,0.096,0,0.059,-0.03,-5,0.0001,-0.003,0,0.223,0.4481,9,0.133
6,3,162,263,0,"July 26, 2021 8:52 AM",07/25/2021,-0.03,1,Jenny,0.0,0,0.096,0,0.064,-0.03,-5,0.0001,-0.003,0,0.196,0.4931,9,0.2
9,4,125,277,0,"July 25, 2021 2:59 AM",07/24/2021,-0.03,1,Surf,0.017,3,0.108,0,0.077,-0.03,-51,0.0103,-0.003,0,0.192,0.5873,11,0.246
8,3,110,363,0,"July 23, 2021 10:41 PM",07/23/2021,0.0,0,Morning swim,0.083,15,0.096,0,0.082,-0.03,-174,0.1199,-0.003,0,0.169,0.7839,9,0.267
9,4,159,224,0,"July 23, 2021 12:24 AM",07/22/2021,0.0,0,Morning swim,0.083,15,0.108,0,0.065,-0.03,-170,0.1145,-0.003,0,0.206,0.7895,11,0.246
6,5,150,213,9,"July 22, 2021 12:06 AM",07/21/2021,0.0,9,,0.0,0,0.12,0,0.068,-0.03,0,0.0,-0.003,0,0.209,0.564,9,0.2
8,5,200,214,0,"July 20, 2021 11:54 AM",07/20/2021,-0.03,1,Morning swim,0.083,15,0.12,23,0.05,0.035,-180,0.1283,-0.003,0,0.209,0.8593,9,0.267
9,4,130,226,0,"July 19, 2021 10:15 PM",07/19/2021,0.0,0,,0.083,15,0.108,30,0.075,0.046,-15,0.0009,-0.003,0,0.206,0.8159,9,0.3
5,2,160,446,0,"July 19, 2021 7:40 AM",07/18/2021,0.0,0,Seoul to Jeju,0.0,0,0.084,0,0.064,-0.03,90,-0.0321,-0.003,0,0.147,0.3799,10,0.15
7,4,140,295,0,"July 18, 2021 9:44 AM",07/17/2021,-0.03,1,Wedding,0.0,0,0.108,0,0.071,-0.03,-104,0.0428,-0.003,0,0.188,0.5568,10,0.21
8,4,163,256,0,"July 16, 2021 11:28 PM",07/16/2021,0.0,0,Swim & Seoul,0.0,0,0.108,0,0.063,-0.03,-180,0.1283,-0.003,0,0.198,0.7043,10,0.24
9,4,128,285,0,"July 15, 2021 11:10 PM",07/15/2021,0.0,0,Morning swim,0.072,13,0.108,0,0.076,-0.03,-180,0.1283,-0.003,0,0.19,0.8113,10,0.27
8,4,142,243,0,"July 15, 2021 8:50 AM",07/14/2021,0.0,0,Morning swim,0.083,15,0.108,0,0.071,-0.03,-170,0.1145,-0.003,0,0.201,0.7845,10,0.24
8,4,124,252,0,"July 13, 2021 9:32 PM",07/13/2021,0.0,0,,0.083,15,0.108,0,0.077,-0.03,20,-0.0016,-0.003,0,0.199,0.6724,10,0.24
7,3,141,269,0,"July 13, 2021 9:07 AM",07/12/2021,0.0,0,Morning swim,0.0,0,0.096,0,0.071,-0.03,-180,0.1283,-0.003,0,0.194,0.6473,11,0.191
5,4,73,103,0,"July 11, 2021 9:35 PM",07/11/2021,0.0,0,Quit smoking,0.0,0,0.108,0,0.095,-0.03,-20,0.0016,-0.003,0,0.239,0.5776,9,0.167
6,5,86,135,0,"July 11, 2021 8:01 AM",07/10/2021,-0.03,1,,0.083,15,0.12,0,0.091,-0.03,-20,0.0016,-0.003,0,0.23,0.6876,8,0.225
7,4,167,104,0,"July 10, 2021 12:09 AM",07/09/2021,0.0,0,surusuru,0.083,15,0.108,0,0.062,-0.03,-10,0.0004,-0.003,0,0.238,0.6334,12,0.175
5,4,121,261,0,"July 8, 2021 1:09 PM",07/07/2021,-0.03,1,travel,0.0,0,0.108,0,0.078,-0.03,-10,0.0004,-0.003,0,0.197,0.4364,13,0.116
10,4,131,242,0,"July 7, 2021 12:17 AM",07/06/2021,-0.03,1,,0.083,15,0.108,30,0.075,0.046,-20,0.0016,-0.003,0,0.202,0.7326,12,0.25
8,3,114,126,0,"July 6, 2021 2:01 AM",07/05/2021,-0.03,1,,0.083,15,0.096,0,0.081,-0.03,0,0.0,-0.003,0,0.232,0.647,11,0.218
7,4,124,222,0,"July 3, 2021 5:09 PM",07/04/2021,-0.03,1,,0.083,15,0.108,0,0.077,-0.03,35,-0.0049,-0.003,0,0.207,0.6411,9,0.234
3,3,243,243,0,"July 31, 2021 7:31 AM",07/30/2021,0.0,0,Swim & Teddy,0.0,0,0.096,0,0.035,-0.03,-180,0.1283,-0.003,0,0.201,0.5273,9,0.1
