Finished,Multiple,Phone pickups,Screen time,Books finished,Created,Date,Drink %,Drink,Events,Meditation %,Meditation,Multiple %,Reading,Pick up %,Reading %,Rise time,Rise time %,Run %,Run,Screen Time %,Total,Tot To-do,Work done %
9,5,83,112,0,"June 21, 2021 11:29 PM",06/21/2021,0.0,0,Began work,0.028,5,0.12,0,0.092,-0.03,-42,0.007,-0.003,0.0,0.236,0.696,11,0.246
9,4,151,197,0,"June 20, 2021 10:43 PM",06/20/2021,0.0,0,,0.083,15,0.108,0,0.068,-0.03,-15,0.0009,-0.003,0.0,0.214,0.6659,12,0.225
1,2,143,529,0,"June 20, 2021 2:23 PM",06/19/2021,0.0,0,COVID test,0.0,0,0.084,0,0.07,-0.03,0,0.0,-0.003,0.0,0.125,0.276,10,0.03
11,3,98,202,0,"June 19, 2021 1:27 AM",06/18/2021,-0.03,1,,0.083,15,0.096,40,0.086,0.062,0,0.0,-0.003,0.0,0.212,0.765,14,0.259
12,4,118,166,0,"June 17, 2021 11:30 PM",06/17/2021,0.0,0,,0.083,15,0.108,52,0.079,0.08,0,0.0,-0.003,0.0,0.222,0.846,13,0.277
13,3,87,230,0,"June 17, 2021 12:23 AM",06/16/2021,0.0,0,,0.083,15,0.096,47,0.09,0.072,60,-0.0143,-0.003,0.0,0.205,0.8347,14,0.306
14,5,101,208,0,"June 16, 2021 12:04 AM",06/15/2021,0.0,0,,0.083,15,0.12,45,0.085,0.069,56,-0.0124,0.0087,0.74,0.211,0.8943,14,0.33
12,3,99,109,0,"June 15, 2021 12:47 AM",06/14/2021,0.0,0,,0.083,15,0.096,0,0.086,-0.03,56,-0.0124,-0.003,0.0,0.237,0.7206,15,0.264
10,4,120,173,0,"June 13, 2021 11:48 PM",06/13/2021,0.0,0,,0.017,3,0.108,33,0.079,0.051,43,-0.0073,-0.003,0.0,0.22,0.7647,10,0.3
10,3,84,185,0,"June 12, 2021 11:37 PM",06/12/2021,-0.03,1,,0.083,15,0.096,18,0.091,0.028,142,-0.0799,-0.003,0.0,0.217,0.6521,12,0.25
11,4,99,260,0,"June 12, 2021 1:56 AM",06/11/2021,0.0,0,,0.083,15,0.108,2,0.086,0.003,18,-0.0013,-0.003,0.0,0.197,0.7267,13,0.254
13,5,106,198,0,"June 10, 2021 11:16 PM",06/10/2021,0.0,0,,0.083,15,0.12,35,0.084,0.054,-41,0.0067,-0.003,0.0,0.213,0.8577,13,0.3
12,4,105,137,0,"June 9, 2021 11:53 PM",06/09/2021,0.0,0,,0.083,15,0.108,17,0.084,0.026,77,-0.0235,-0.003,0.0,0.23,0.8045,12,0.3
16,5,144,224,0,"June 9, 2021 12:08 AM",06/08/2021,0.0,0,,0.083,15,0.12,9,0.07,0.014,-35,0.0049,-0.003,0.0,0.206,0.8249,16,0.33
11,5,121,199,0,"June 7, 2021 10:37 PM",06/07/2021,-0.03,1,,0.083,15,0.12,0,0.078,-0.03,0,0.0,-0.003,0.0,0.213,0.706,12,0.275
10,4,50,237,1,"June 6, 2021 11:44 PM",06/06/2021,0.0,0,,0.083,15,0.108,28,0.104,0.043,167,-0.1105,-0.003,0.0,0.203,0.6775,12,0.25
13,4,138,185,0,"June 5, 2021 11:24 PM",06/05/2021,-0.03,1,,0.083,15,0.108,0,0.072,-0.03,30,-0.0036,-0.003,0.0,0.217,0.7194,14,0.306
12,3,95,163,0,"June 5, 2021 2:01 AM",06/04/2021,-0.03,1,,0.083,15,0.096,11,0.088,0.017,10,-0.0004,-0.003,0.0,0.223,0.7566,14,0.283
11,3,61,174,0,"June 3, 2021 11:15 PM",06/03/2021,0.0,0,,0.083,15,0.096,55,0.1,0.085,19,-0.0014,-0.003,0.0,0.22,0.8546,12,0.275
13,5,128,217,0,"June 3, 2021 2:12 AM",06/02/2021,-0.03,1,Began blogging,0.0,0,0.12,6,0.076,0.009,6,-0.0001,-0.003,0.0,0.208,0.6859,14,0.306
13,4,102,197,0,"June 2, 2021 2:02 AM",06/01/2021,0.0,0,,0.0,0,0.108,14,0.085,0.022,20,-0.0016,-0.003,0.0,0.214,0.7104,15,0.286
7,4,138,105,0,"June 26, 2021 12:32 AM",06/25/2021,-0.03,1,,0.083,15,0.108,10,0.072,0.015,40,-0.0063,-0.003,0.0,0.238,0.7107,9,0.234
