Finished,Multiple,Phone pickups,Screen time,Books finished,Created,Date,Drink %,Drink,Events,Meditation %,Meditation,Multiple %,Reading,Pick up %,Reading %,Rise time,Rise time %,Run %,Run,Screen Time %,Total,Tot To-do,Work done %
6,3,107,321,0,"May 14, 2021 12:25 AM",05/13/2021,0.0,0,,0.0,0,0.096,0,0.083,-0.03,120,-0.057,-0.003,0,0.181,0.47,9,0.2
8,3,95,186,0,"May 13, 2021 12:46 AM",05/12/2021,0.0,0,,0.083,15,0.096,26,0.088,0.04,155,-0.0951,-0.003,0,0.216,0.6919,9,0.267
8,2,62,509,0,"May 12, 2021 12:49 AM",05/11/2021,0.0,0,,0.0,0,0.084,30,0.099,0.046,180,-0.1283,-0.003,0,0.131,0.4687,10,0.24
9,4,67,187,0,"May 11, 2021 12:04 AM",05/10/2021,0.0,0,Finals,0.055,10,0.108,26,0.098,0.04,140,-0.0776,-0.003,0,0.216,0.7364,9,0.3
10,4,80,134,0,"May 10, 2021 1:17 AM",05/09/2021,0.0,0,,0.083,15,0.108,0,0.093,-0.03,66,-0.0173,-0.003,0,0.23,0.7367,11,0.273
14,3,98,150,0,"May 9, 2021 12:37 AM",05/08/2021,0.0,0,,0.083,15,0.096,0,0.086,-0.03,-10,0.0004,-0.003,0,0.226,0.7474,16,0.289
15,4,80,230,0,"May 8, 2021 12:21 AM",05/07/2021,0.0,0,,0.083,15,0.108,40,0.093,0.062,210,-0.1747,-0.003,0,0.205,0.7033,15,0.33
15,4,120,246,0,"May 7, 2021 1:38 AM",05/06/2021,0.0,0,Hellotalk,0.083,15,0.108,31,0.079,0.048,50,-0.0099,-0.003,0,0.201,0.8151,16,0.309
14,4,70,151,0,"May 6, 2021 12:15 AM",05/05/2021,0.0,0,,0.083,15,0.108,27,0.096,0.042,59,-0.0138,-0.003,0,0.226,0.8682,14,0.33
11,5,77,141,1,"May 4, 2021 11:31 PM",05/04/2021,0.0,0,,0.0,0,0.12,78,0.094,0.12,-70,0.0194,-0.003,0,0.228,0.8324,13,0.254
9,3,57,148,0,"May 4, 2021 12:27 AM",05/03/2021,0.0,0,,0.0,0,0.096,23,0.101,0.035,240,-0.2281,-0.003,0,0.227,0.4359,13,0.208
11,4,37,257,0,"May 3, 2021 1:41 AM",05/02/2021,0.0,0,,0.0,0,0.108,15,0.108,0.023,200,-0.1584,-0.003,0,0.198,0.5296,13,0.254
4,1,31,404,0,"May 2, 2021 3:01 AM",05/01/2021,0.0,0,BTD6,0.0,0,0.072,0,0.11,-0.03,285,-0.3217,-0.003,0,0.159,0.0863,12,0.1
