Finished,Multiple,Phone pickups,Screen time,Books finished,Created,Date,Drink %,Drink,Events,Meditation %,Meditation,Multiple %,Reading,Pick up %,Reading %,Rise time,Rise time %,Run %,Run,Screen Time %,Total,Tot To-do,Work done %
12,4,122,151,0,"Jun 1, 2021 2:34 AM",05/31/2021,-0.03,1,,0.055,10,0.108,0,0.078,-0.03,-25,0.0025,-0.003,0,0.226,0.6895,14,0.283
13,3,96,199,0,"May 30, 2021 11:48 PM",05/30/2021,0.0,0,,0.083,15,0.096,25,0.087,0.038,119,-0.0561,-0.003,0,0.213,0.7439,15,0.286
10,3,77,117,0,"May 29, 2021 11:56 PM",05/29/2021,-0.03,1,,0.0,0,0.096,10,0.094,0.015,190,-0.143,-0.003,0,0.235,0.495,13,0.231
7,3,95,192,0,"May 29, 2021 2:32 AM",05/28/2021,-0.03,1,,0.0,0,0.096,0,0.088,-0.03,-12,0.0006,-0.003,0,0.215,0.5116,12,0.175
6,2,73,281,0,"May 28, 2021 12:00 AM",05/27/2021,0.0,0,,0.0,0,0.084,0,0.095,-0.03,221,-0.1934,-0.003,0,0.191,0.2936,12,0.15
7,3,113,347,0,"May 27, 2021 12:24 AM",05/26/2021,-0.03,1,,0.083,15,0.096,0,0.081,-0.03,161,-0.1027,-0.003,0,0.174,0.4593,11,0.191
12,3,96,120,0,"May 26, 2021 1:52 AM",05/25/2021,-0.03,1,,0.0,0,0.096,0,0.087,-0.03,-20,0.0016,-0.003,0,0.234,0.6036,16,0.248
10,3,97,167,0,"May 25, 2021 12:04 AM",05/24/2021,0.0,0,,0.0,0,0.096,0,0.087,-0.03,146,-0.0844,-0.003,0,0.222,0.5186,13,0.231
3,2,68,368,0,"May 24, 2021 12:10 AM",05/23/2021,0.0,0,,0.0,0,0.084,25,0.097,0.038,150,-0.0891,-0.003,0,0.168,0.3699,12,0.075
4,4,114,184,0,"May 22, 2021 11:47 PM",05/22/2021,-0.03,1,,0.0,0,0.108,0,0.081,-0.03,120,-0.057,-0.003,0,0.217,0.406,10,0.12
12,4,165,180,0,"May 22, 2021 12:02 PM",05/21/2021,-0.03,1,,0.055,10,0.108,43,0.063,0.066,-140,0.0776,-0.003,0,0.218,0.8546,12,0.3
12,4,82,232,0,"May 20, 2021 11:22 PM",05/20/2021,0.0,0,,0.083,15,0.108,0,0.092,-0.03,163,-0.1052,-0.003,0,0.204,0.6318,14,0.283
10,3,75,328,0,"May 20, 2021 12:55 AM",05/19/2021,0.0,0,Semester Finished,0.0,0,0.096,23,0.095,0.035,-30,0.0036,-0.003,0,0.179,0.6556,12,0.25
10,4,71,82,0,"May 19, 2021 12:17 AM",05/18/2021,0.0,0,,0.083,15,0.108,16,0.096,0.025,104,-0.0428,-0.003,0,0.244,0.8102,10,0.3
13,4,108,217,0,"May 18, 2021 12:36 AM",05/17/2021,0.0,0,,0.083,15,0.108,21,0.083,0.032,25,-0.0025,-0.003,0,0.208,0.8145,14,0.306
7,3,77,382,0,"May 17, 2021 12:27 AM",05/16/2021,0.0,0,,0.066,12,0.096,0,0.094,-0.03,95,-0.0357,-0.003,0,0.164,0.5613,10,0.21
7,5,87,190,0,"May 16, 2021 1:54 AM",05/15/2021,0.0,0,,0.083,15,0.12,0,0.09,-0.03,96,-0.0365,-0.003,0,0.215,0.7015,8,0.263
7,3,82,174,0,"May 15, 2021 12:26 AM",05/14/2021,0.0,0,,0.083,15,0.096,34,0.092,0.052,180,-0.1283,-0.003,0,0.22,0.6457,9,0.234
