Name,*Finished,*Multiple (1~5),*Phone pickups,*Screen time,Books finished,Created,Date,Drink (%),Drink? (over 3 beer),Events,Meditation (%),Meditation (min),Mentality,Multiple (%),Multiple EST,Overall Satisfaction,Personal Reading,Pick up (%),Productivity,Reading (%),Rise time,Rise time (%),Run (%),Run (km),Screen Time (%),Social,Tech Consumption,Total,Total To-do List,Work done (%)
Social,5,3.4,158,295,0,12/12/2021 1:01,12/11/2021,-0.03,1,,0,0,⭐️⭐️⭐️,0.1008,3.4,⭐️⭐️⭐️,0,0.065,⭐️⭐️⭐️,-0.03,48,-0.0091,-0.003,0,0.188,⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️,0.3977,13,0.116
Poker night,12,4,132,242,0,12/10/2021 23:24,12/10/2021,-0.03,1,,0.083,15,⭐️⭐️⭐️⭐️,0.108,4,⭐️⭐️⭐️⭐️,10,0.074,⭐️⭐️⭐️,0.015,-36,0.0051,-0.003,0,0.202,⭐️⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️,0.7021,16,0.248
Actuary day,11,3.8,140,161,0,12/9/2021 22:37,12/9/2021,0,0,,0.083,15,⭐️⭐️⭐️,0.1056,3.8,⭐️⭐️⭐️⭐️,11,0.071,⭐️⭐️⭐️⭐️,0.017,30,-0.0036,-0.003,0,0.223,⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️,0.752,14,0.259
Talk with Imteaz,14,3.4,165,115,0,12/9/2021 0:18,12/8/2021,0,0,,0.083,15,⭐️⭐️⭐️,0.1008,3.4,⭐️⭐️⭐️,20,0.063,⭐️⭐️⭐️⭐️,0.031,-30,0.0036,-0.003,0,0.235,⭐️⭐️⭐️,⭐️⭐️⭐️⭐️,0.7704,18,0.257
Tech Overload,13,2,92,400,0,12/7/2021 23:18,12/7/2021,0,0,,0.083,15,⭐️⭐️,0.084,2,⭐️⭐️,13,0.089,⭐️⭐️,0.02,30,-0.0036,-0.003,0,0.16,⭐️⭐️⭐️,⭐️,0.7294,13,0.3
Call with Kiwook,11,3.6,110,230,0,12/6/2021 23:33,12/6/2021,0,0,,0.083,15,⭐️⭐️⭐️,0.1032,3.6,⭐️⭐️⭐️⭐️,0,0.082,⭐️⭐️⭐️,-0.03,120,-0.057,-0.003,0,0.205,⭐️⭐️⭐️⭐️⭐️,⭐️⭐️⭐️,0.6252,15,0.242
Drain,5,2.2,110,291,0,12/5/2021 23:07,12/5/2021,0,0,,0.122,22,⭐️⭐️⭐️,0.0864,2.2,⭐️⭐️,0,0.082,⭐️,-0.03,47,-0.0087,-0.003,0,0.189,⭐️⭐️⭐️,⭐️⭐️,0.5557,14,0.118
Dinner with Jeremy,8,2.6,124,262,0,12/5/2021 8:50,12/4/2021,-0.03,1,,0.138,25,⭐️⭐️,0.0912,2.6,⭐️⭐️⭐️,0,0.077,⭐️⭐️,-0.03,117,-0.0542,-0.003,0,0.196,⭐️⭐️⭐️⭐️,⭐️⭐️,0.574,14,0.189
Acapella,13,4.2,114,207,0,12/4/2021 0:03,12/3/2021,0,0,Fri,0.083,15,⭐️⭐️⭐️⭐️,0.1104,4.2,⭐️⭐️⭐️⭐️,16,0.081,⭐️⭐️⭐️⭐️,0.025,-45,0.008,-0.003,0,0.211,⭐️⭐️⭐️⭐️⭐️,⭐️⭐️⭐️⭐️,0.7674,17,0.252
Step by step,13,2.8,124,272,0,12/2/2021 23:00,12/2/2021,0,0,,0.055,10,⭐️⭐️,0.0936,2.8,⭐️⭐️⭐️,15,0.077,⭐️⭐️⭐️,0.023,38,-0.0057,-0.003,0,0.194,⭐️⭐️⭐️⭐️,⭐️⭐️,0.7399,14,0.306
Transition from break,13,2.8,132,175,0,12/1/2021 22:18,12/1/2021,0,0,,0.055,10,⭐️⭐️,0.0936,2.8,⭐️⭐️⭐️,0,0.074,⭐️⭐️,-0.03,-30,0.0036,-0.003,0,0.219,⭐️⭐️⭐️,⭐️⭐️⭐️⭐️,0.6982,15,0.286
